Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,SMA_20,RSI_14,Bollinger_High,Bollinger_Low
2019-12-13,1214.3729197169755,1221.428738936061,1208.8530428091713,1213.2689208984375,5887593,0.0,0.0,HDFCBANK.NS,1212.1313598632812,54.10962676305546,1234.7300626747362,1189.5326570518262
2019-12-16,1218.452821354825,1219.1728052949595,1198.245225227753,1207.029052734375,5663788,0.0,0.0,HDFCBANK.NS,1211.9057678222657,49.94048922321371,1234.6133608078687,1189.1981748366627
2019-12-17,1209.573020875839,1223.7807508521446,1205.109097004677,1220.228759765625,6213677,0.0,0.0,HDFCBANK.NS,1211.867364501953,57.41528001384411,1234.5158490105114,1189.2188799933947
2019-12-18,1231.6525196017617,1247.0121768999911,1222.676743305086,1240.6282958984375,8723586,0.0,0.0,HDFCBANK.NS,1212.779345703125,65.8917114358452,1238.3317558610781,1187.226935545172
2019-12-19,1252.772065335272,1253.252054632335,1234.6284464693008,1237.220458984375,6509188,0.0,0.0,HDFCBANK.NS,1213.0409423828125,63.613714140892164,1239.4668202380706,1186.6150645275545
2019-12-20,1237.172294928551,1247.5880382422838,1228.8205288318875,1244.8040771484375,7513022,0.0,0.0,HDFCBANK.NS,1214.5744995117188,66.3977398684934,1244.4150874280265,1184.7339115954112
2019-12-23,1247.0121724456828,1251.8120653342344,1237.220437826992,1250.276123046875,5097891,0.0,0.0,HDFCBANK.NS,1216.0768676757812,68.28346836039714,1249.6917349162559,1182.4620004353064
2019-12-24,1246.62814709349,1249.0280935175822,1235.4443733202434,1237.556396484375,3589604,0.0,0.0,HDFCBANK.NS,1216.753643798828,59.87241859141729,1251.506769990717,1182.0005176069392
2019-12-26,1238.084200016234,1240.148177187266,1214.036809379186,1219.6046142578125,7474879,0.0,0.0,HDFCBANK.NS,1216.3720397949219,50.430827198550176,1250.822642553728,1181.9214370361158
2019-12-27,1221.092598805147,1227.812448012408,1219.1726418887868,1223.9725341796875,3546496,0.0,0.0,HDFCBANK.NS,1216.8376220703126,52.397794994555774,1251.434512947526,1182.2407311930992
2019-12-30,1230.6925276289817,1237.1723829811624,1223.0607448659223,1230.8365478515625,4667095,0.0,0.0,HDFCBANK.NS,1217.1832153320313,55.39332442649298,1252.1920116370516,1182.174419027011
2019-12-31,1230.644486221246,1230.644486221246,1217.8768414963592,1221.188720703125,4178528,0.0,0.0,HDFCBANK.NS,1217.4880065917969,50.57578568003431,1252.5248322919135,1182.4511808916802
2020-01-01,1225.0286424173514,1228.7725823160729,1219.748760227712,1227.4285888671875,1836849,0.0,0.0,HDFCBANK.NS,1218.601580810547,53.3986920621064,1253.4149657487344,1183.7881958723594
2020-01-02,1227.81260738962,1236.4524146347387,1227.81260738962,1235.25244140625,3068583,0.0,0.0,HDFCBANK.NS,1220.2863464355469,56.73540802815335,1254.897986003496,1185.6747068675977
2020-01-03,1230.8844747666276,1233.5724616348048,1213.028896813404,1217.6368408203125,5427775,0.0,0.0,HDFCBANK.NS,1221.3807189941406,48.3425122374517,1254.1551986196073,1188.6062393686739
2020-01-06,1209.573039649761,1211.3010480089304,1186.5335531802418,1191.285400390625,5445093,0.0,0.0,HDFCBANK.NS,1221.1359252929688,39.03898290794317,1254.7226794951262,1187.5491710908113
2020-01-07,1208.517009134917,1220.564669517856,1202.1331283980037,1210.14892578125,7362247,0.0,0.0,HDFCBANK.NS,1221.98310546875,46.91479267654887,1253.5000582940959,1190.466152643404
2020-01-08,1197.0452073503518,1211.6369516371497,1190.4214490960535,1206.9810791015625,5666055,0.0,0.0,HDFCBANK.NS,1222.3575012207032,45.84364793891811,1252.9615906992647,1191.7534117421417
2020-01-09,1214.372837618164,1224.7406525919384,1212.548854978441,1220.5167236328125,4773158,0.0,0.0,HDFCBANK.NS,1223.4446716308594,50.9923923064605,1252.1033084328692,1194.7860348288496
2020-01-10,1232.7083732250342,1235.396359909477,1224.0685666913078,1231.3643798828125,4607290,0.0,0.0,HDFCBANK.NS,1224.3614440917968,54.708673952800645,1252.8008955659498,1195.9219926176438
2020-01-13,1231.3646162290645,1244.612368997482,1224.9328058933952,1234.5325927734375,3725784,0.0,0.0,HDFCBANK.NS,1225.424627685547,55.763756604388675,1253.7153081594483,1197.1339472116456
2020-01-14,1237.4124667347749,1240.8204377801117,1226.3727123767842,1237.8924560546875,3943145,0.0,0.0,HDFCBANK.NS,1226.9677978515624,56.91016204641571,1254.4313558570884,1199.5042398460364
2020-01-15,1234.9165165263296,1236.4044130719633,1223.1087326615475,1232.8525390625,5893724,0.0,0.0,HDFCBANK.NS,1227.5989868164063,54.62337869789985,1254.9941785340184,1200.2037950987942
2020-01-16,1230.7405984101122,1239.33235991824,1228.148585905703,1236.116455078125,3575200,0.0,0.0,HDFCBANK.NS,1227.3733947753906,55.86036311911556,1254.4076292985965,1200.3391602521847
2020-01-17,1230.4524813036114,1233.4764371112574,1220.9967162164285,1226.99658203125,8459407,0.0,0.0,HDFCBANK.NS,1226.8622009277344,51.625576882235556,1253.5162817131945,1200.2081201422743
2020-01-20,1252.6280064460766,1252.6280064460766,1202.3731520316696,1204.6771240234375,11089225,0.0,0.0,HDFCBANK.NS,1224.8558532714844,43.02829096730889,1251.8445850281453,1197.8671215148236
2020-01-21,1199.9733414167456,1199.9733414167456,1188.8376122453776,1194.5494384765625,7492402,0.0,0.0,HDFCBANK.NS,1222.0695190429688,39.79023601203703,1249.4883946682503,1194.6506434176872
2020-01-22,1198.101369534372,1204.7731741026575,1184.997637869106,1191.189453125,9184155,0.0,0.0,HDFCBANK.NS,1219.751171875,38.74840844161882,1249.2984699889114,1190.2038737610885
2020-01-23,1190.3734242574214,1196.949254010899,1181.7336171458758,1195.029296875,5754460,0.0,0.0,HDFCBANK.NS,1218.5224060058595,40.66056560757083,1249.974485244978,1187.070326766741
2020-01-24,1196.1333772226055,1203.8132062898453,1189.5095012151328,1194.741455078125,5915878,0.0,0.0,HDFCBANK.NS,1217.0608520507812,40.55835134762917,1250.0434940703742,1184.0782100311883
2020-01-27,1185.5734522817952,1185.5734522817952,1163.2539520667735,1164.6458740234375,9444276,0.0,0.0,HDFCBANK.NS,1213.751318359375,31.610753119687004,1253.1918387278574,1174.3107979908928
2020-01-28,1170.0220372548329,1178.6618451916788,1164.6941088198198,1174.245849609375,6706079,0.0,0.0,HDFCBANK.NS,1211.4041748046875,36.428466395082424,1254.2363092014034,1168.5720404079716
2020-01-29,1176.2618224737796,1192.293418179207,1173.333840877243,1186.3895263671875,6894175,0.0,0.0,HDFCBANK.NS,1209.3522216796875,41.99498219581147,1252.8440582533551,1165.86038510602
2020-01-30,1189.3654417378275,1189.3654417378275,1168.485907150228,1176.9818115234375,6055992,0.0,0.0,HDFCBANK.NS,1206.4386901855469,39.13597317787267,1250.4044677840511,1162.4729125870426
2020-01-31,1182.1654752073073,1188.261432421216,1171.4137628971168,1177.2216796875,5589134,0.0,0.0,HDFCBANK.NS,1204.4179321289062,39.249537225638406,1249.8305159830325,1159.0053482747799
2020-02-03,1149.0942406721315,1150.0061733542714,1130.5666091323744,1145.0623779296875,6538505,0.0,0.0,HDFCBANK.NS,1202.1067810058594,30.91973594452189,1254.174628850203,1150.0389331615158
2020-02-04,1150.054300342984,1184.6135280661454,1150.054300342984,1180.5816650390625,10448852,0.0,0.0,HDFCBANK.NS,1200.62841796875,44.84305095814043,1253.3735547590068,1147.8832811784932
2020-02-05,1185.4774897667444,1198.0531848567105,1178.1816765010667,1194.8372802734375,9010341,0.0,0.0,HDFCBANK.NS,1200.0212280273438,49.26302424734542,1252.7394500287605,1147.303006025927
2020-02-06,1194.8373913410132,1198.7252343711891,1187.6854804396453,1190.1815185546875,5913775,0.0,0.0,HDFCBANK.NS,1198.5044677734375,47.91263512864593,1250.5175391382188,1146.491396408656
2020-02-07,1196.1334395036529,1197.0934181870423,1182.3097230258604,1192.4854736328125,3407724,0.0,0.0,HDFCBANK.NS,1196.5605224609376,48.662597879572516,1246.3755281581339,1146.7455167637413
