Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,SMA_20,RSI_14,Bollinger_High,Bollinger_Low
2019-11-01,90.25,91.0,88.0999984741211,89.94999694824219,937093,0.0,0.0,ADANIGREEN.NS,0.0,0.0,0.0,0.0
2019-11-04,89.69999694824219,95.8499984741211,89.5999984741211,92.6500015258789,3284998,0.0,0.0,ADANIGREEN.NS,0.0,0.0,0.0,0.0
2019-11-05,93.1999969482422,93.5999984741211,90.0999984741211,90.6999969482422,963016,0.0,0.0,ADANIGREEN.NS,0.0,0.0,0.0,0.0
2019-11-06,90.0,92.1999969482422,89.1500015258789,90.3000030517578,1188174,0.0,0.0,ADANIGREEN.NS,0.0,0.0,0.0,0.0
2019-11-07,90.4000015258789,91.1999969482422,88.30000305175781,88.69999694824219,911495,0.0,0.0,ADANIGREEN.NS,0.0,0.0,0.0,0.0
2019-11-08,88.80000305175781,89.5999984741211,83.5999984741211,86.69999694824219,1403419,0.0,0.0,ADANIGREEN.NS,0.0,0.0,0.0,0.0
2019-11-11,86.80000305175781,95.25,85.19999694824219,93.8499984741211,4135563,0.0,0.0,ADANIGREEN.NS,0.0,0.0,0.0,0.0
2019-11-13,95.0,99.8000030517578,94.0,96.0,6684791,0.0,0.0,ADANIGREEN.NS,0.0,0.0,0.0,0.0
2019-11-14,96.6999969482422,98.5,93.5,95.0500030517578,1611104,0.0,0.0,ADANIGREEN.NS,0.0,0.0,0.0,0.0
2019-11-15,95.4000015258789,96.6999969482422,94.5,95.5,1053101,0.0,0.0,ADANIGREEN.NS,0.0,0.0,0.0,0.0
2019-11-18,95.9499969482422,96.0,93.6500015258789,94.0500030517578,643258,0.0,0.0,ADANIGREEN.NS,0.0,0.0,0.0,0.0
2019-11-19,94.0500030517578,97.5999984741211,92.0,96.1999969482422,1471915,0.0,0.0,ADANIGREEN.NS,0.0,0.0,0.0,0.0
2019-11-20,96.8000030517578,100.9000015258789,95.5999984741211,98.75,2279188,0.0,0.0,ADANIGREEN.NS,0.0,0.0,0.0,0.0
2019-11-21,98.6500015258789,99.1999969482422,96.3000030517578,97.0,855172,0.0,0.0,ADANIGREEN.NS,0.0,63.31588711353016,0.0,0.0
2019-11-22,97.4499969482422,106.6999969482422,95.3000030517578,106.6999969482422,4228833,0.0,0.0,ADANIGREEN.NS,0.0,76.85993997903526,0.0,0.0
2019-11-25,107.6999969482422,117.3000030517578,106.6999969482422,114.3000030517578,6899872,0.0,0.0,ADANIGREEN.NS,0.0,82.35641713518191,0.0,0.0
