Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,SMA_20,RSI_14,Bollinger_High,Bollinger_Low
2019-11-28,1612.1292294528832,1621.201793849542,1602.2590261565274,1610.13525390625,2237760,0.0,0.0,KOTAKBANK.NS,0.0,57.212885530138536,0.0,0.0
2019-11-29,1605.1503070122867,1617.114160232254,1587.5036721938782,1610.3345947265625,1730478,0.0,0.0,KOTAKBANK.NS,1593.8918518066407,57.27909578295372,1634.667859599159,1553.1158440141223
2019-12-02,1609.6367806448063,1631.5705119388203,1595.379806622653,1628.0810546875,2289704,0.0,0.0,KOTAKBANK.NS,1596.5388549804688,62.79828611680331,1638.9430726055625,1554.1346373553752
2019-12-03,1629.5764510411132,1645.0297609163883,1626.5355897717109,1641.78955078125,2321783,0.0,0.0,KOTAKBANK.NS,1600.3124450683595,66.40845618596586,1644.6748141307569,1555.950076005962
2019-12-04,1638.3499971472252,1654.8999692434709,1628.28032363988,1646.2760009765625,2704079,0.0,0.0,KOTAKBANK.NS,1605.1652770996093,67.51938610626908,1647.2871111895918,1563.0434430096268
2019-12-05,1646.2761087837184,1654.9997520550933,1635.4588154677365,1644.33203125,2936890,0.0,0.0,KOTAKBANK.NS,1609.0659912109375,66.49324855513754,1650.5191872686648,1567.61279515321
2019-12-06,1645.0299820660248,1674.9396181035888,1638.350212032017,1669.2568359375,3799507,0.0,0.0,KOTAKBANK.NS,1613.567401123047,72.3049821125763,1660.2990897660782,1566.8357124800157
2019-12-09,1672.895699141147,1673.942585055254,1651.510358632536,1654.2520751953125,1893740,0.0,0.0,KOTAKBANK.NS,1616.5085205078126,64.99622545684986,1665.6461150792443,1567.370925936381
2019-12-10,1659.984722119318,1660.93181186831,1646.076790696121,1657.392578125,1413156,0.0,0.0,KOTAKBANK.NS,1618.7766723632812,65.77598561397323,1670.970677104241,1566.5826676223214
2019-12-11,1660.981579763724,1685.756700835645,1654.1023399968103,1681.4697265625,2029117,0.0,0.0,KOTAKBANK.NS,1622.8020141601562,71.09270922689701,1680.957136630787,1564.6468916895253
2019-12-12,1685.1086161695598,1714.8188992681544,1676.9333654471138,1710.43212890625,2695588,0.0,0.0,KOTAKBANK.NS,1628.6842346191406,75.93557877837218,1696.5020200996112,1560.86644913867
2019-12-13,1711.0304386165749,1713.8220531783063,1682.167690066956,1687.651123046875,3527634,0.0,0.0,KOTAKBANK.NS,1632.1736877441406,66.4986399525992,1704.4408434296145,1559.9065320586667
2019-12-16,1688.8972811191368,1724.7888408123415,1688.8972811191368,1698.8172607421875,3662127,0.0,0.0,KOTAKBANK.NS,1635.9996215820313,68.56102155076765,1713.6704677308717,1558.328775433191
2019-12-17,1710.8809987340337,1716.2148592353178,1703.4533664467704,1708.1392822265625,2646882,0.0,0.0,KOTAKBANK.NS,1640.4611511230469,70.20983420079557,1723.7410737144037,1557.18122853169
2019-12-18,1713.8220234144787,1720.751039924086,1701.160327070879,1719.1558837890625,4592668,0.0,0.0,KOTAKBANK.NS,1646.6873474121094,72.07379603989607,1733.859548413685,1559.5151464105338
2019-12-19,1719.7541838379464,1729.5746117547333,1710.1333482200682,1724.29052734375,2701502,0.0,0.0,KOTAKBANK.NS,1653.379638671875,72.92413822728642,1742.7756635056808,1563.9836138380692
2019-12-20,1717.9595477470564,1719.2057824940362,1682.2175595441995,1687.6011962890625,3058679,0.0,0.0,KOTAKBANK.NS,1659.5410217285157,59.0807603789309,1740.0991026387899,1578.9829408182416
2019-12-23,1693.8821523525403,1706.0453539709108,1689.9938758671256,1699.764404296875,1745488,0.0,0.0,KOTAKBANK.NS,1664.5882629394532,61.67799965367933,1741.8790853597673,1587.2974405191392
2019-12-24,1699.8141927563488,1711.329449794587,1694.8791521414494,1706.3944091796875,1702704,0.0,0.0,KOTAKBANK.NS,1669.929620361328,63.054561199757664,1743.1672845876005,1596.6919561350555
2019-12-26,1705.8959271463475,1709.833980052014,1684.610141461167,1689.146484375,1646970,0.0,0.0,KOTAKBANK.NS,1673.7356201171874,57.28918329570613,1742.5257155625425,1604.9455246718323
2019-12-27,1699.864170342258,1699.864170342258,1676.285384929247,1680.5225830078125,1529366,0.0,0.0,KOTAKBANK.NS,1677.2549865722656,54.60097283779842,1739.5666606552431,1614.943312489288
2019-12-30,1684.9092860309436,1701.6587287979737,1680.4228411864824,1685.30810546875,1868284,0.0,0.0,KOTAKBANK.NS,1681.003662109375,55.83930401202157,1735.260802005695,1626.746522213055
